cve_id,Classification,NIST_IDs,year
CVE-2021-0001,Non-AI,,2021
CVE-2021-0002,Non-AI,,2021
CVE-2021-0003,Non-AI,,2021
CVE-2021-0004,Non-AI,,2021
CVE-2021-0005,Non-AI,,2021
CVE-2021-0006,Non-AI,,2021
CVE-2021-0007,Non-AI,,2021
CVE-2021-0008,Non-AI,,2021
CVE-2021-0009,Non-AI,,2021
CVE-2021-0012,Non-AI,,2021
CVE-2021-0013,Non-AI,,2021
CVE-2021-0051,Non-AI,,2021
CVE-2021-0052,Non-AI,,2021
CVE-2021-0053,Non-AI,,2021
CVE-2021-0054,Non-AI,,2021
CVE-2021-0055,Non-AI,,2021
CVE-2021-0056,Non-AI,,2021
CVE-2021-0057,Non-AI,,2021
CVE-2021-0058,Non-AI,,2021
CVE-2021-0060,Non-AI,,2021
CVE-2021-0061,Non-AI,,2021
CVE-2021-0062,Non-AI,,2021
CVE-2021-0063,Non-AI,,2021
CVE-2021-0064,Non-AI,,2021
CVE-2021-0065,Non-AI,,2021
CVE-2021-0066,Non-AI,,2021
CVE-2021-0067,Non-AI,,2021
CVE-2021-0069,Non-AI,,2021
CVE-2021-0070,Non-AI,,2021
CVE-2021-0071,Non-AI,,2021
CVE-2021-0072,Non-AI,,2021
CVE-2021-0073,Non-AI,,2021
CVE-2021-0074,Non-AI,,2021
CVE-2021-0075,Non-AI,,2021
CVE-2021-0076,Non-AI,,2021
CVE-2021-0077,AI-Supply-Chain,,2021
CVE-2021-0078,Non-AI,,2021
CVE-2021-0079,Non-AI,,2021
CVE-2021-0082,Non-AI,,2021
CVE-2021-0083,Non-AI,,2021
CVE-2021-0084,Non-AI,,2021
CVE-2021-0086,Non-AI,,2021
CVE-2021-0089,Non-AI,,2021
CVE-2021-0090,Non-AI,,2021
CVE-2021-0091,Non-AI,,2021
CVE-2021-0092,Non-AI,,2021
CVE-2021-0093,Non-AI,,2021
CVE-2021-0094,Non-AI,,2021
CVE-2021-0095,Non-AI,,2021
CVE-2021-0096,Non-AI,,2021
CVE-2021-0097,Non-AI,,2021
CVE-2021-0098,Non-AI,,2021
CVE-2021-0099,Non-AI,,2021
CVE-2021-0100,Non-AI,,2021
CVE-2021-0101,Non-AI,,2021
CVE-2021-0102,Non-AI,,2021
CVE-2021-0103,Non-AI,,2021
CVE-2021-0104,Non-AI,,2021
CVE-2021-0105,Non-AI,,2021
CVE-2021-0106,Non-AI,,2021
CVE-2021-0107,Non-AI,,2021
CVE-2021-0108,Non-AI,,2021
CVE-2021-0109,Non-AI,,2021
CVE-2021-0110,Non-AI,,2021
CVE-2021-0111,Non-AI,,2021
CVE-2021-0112,Non-AI,,2021
CVE-2021-0113,Non-AI,,2021
CVE-2021-0114,Non-AI,,2021
CVE-2021-0115,Non-AI,,2021
CVE-2021-0116,Non-AI,,2021
CVE-2021-0117,Non-AI,,2021
CVE-2021-0118,Non-AI,,2021
CVE-2021-0119,Non-AI,,2021
CVE-2021-0120,Non-AI,,2021
CVE-2021-0121,Non-AI,,2021
CVE-2021-0124,Non-AI,,2021
CVE-2021-0125,Non-AI,,2021
CVE-2021-0126,Non-AI,,2021
CVE-2021-0127,Non-AI,,2021
CVE-2021-0129,Non-AI,,2021
CVE-2021-0131,Non-AI,,2021
CVE-2021-0132,Non-AI,,2021
CVE-2021-0133,Non-AI,,2021
CVE-2021-0134,Non-AI,,2021
CVE-2021-0135,Non-AI,,2021
CVE-2021-0143,Non-AI,,2021
CVE-2021-0144,Non-AI,,2021
CVE-2021-0145,Non-AI,,2021
CVE-2021-0146,Non-AI,,2021
CVE-2021-0147,Non-AI,,2021
CVE-2021-0148,Non-AI,,2021
CVE-2021-0151,Non-AI,,2021
CVE-2021-0152,Non-AI,,2021
CVE-2021-0153,Non-AI,,2021
CVE-2021-0154,Non-AI,,2021
CVE-2021-0155,Non-AI,,2021
CVE-2021-0156,Non-AI,,2021
CVE-2021-0157,Non-AI,,2021
CVE-2021-0158,Non-AI,,2021
CVE-2021-0159,Non-AI,,2021
CVE-2021-0160,Non-AI,,2021
CVE-2021-0161,Non-AI,,2021
CVE-2021-0162,Non-AI,,2021
CVE-2021-0163,Non-AI,,2021
CVE-2021-0164,Non-AI,,2021
CVE-2021-0165,Non-AI,,2021
CVE-2021-0166,Non-AI,,2021
CVE-2021-0167,Non-AI,,2021
CVE-2021-0168,Non-AI,,2021
CVE-2021-0169,Non-AI,,2021
CVE-2021-0170,Non-AI,,2021
CVE-2021-0171,Non-AI,,2021
CVE-2021-0172,Non-AI,,2021
CVE-2021-0173,Non-AI,,2021
CVE-2021-0174,Non-AI,,2021
CVE-2021-0175,Non-AI,,2021
CVE-2021-0176,Non-AI,,2021
CVE-2021-0177,Non-AI,,2021
CVE-2021-0178,Non-AI,,2021
CVE-2021-0179,Non-AI,,2021
CVE-2021-0180,Non-AI,,2021
CVE-2021-0182,Non-AI,,2021
CVE-2021-0183,Non-AI,,2021
CVE-2021-0185,Non-AI,,2021
CVE-2021-0186,Non-AI,,2021
CVE-2021-0187,Non-AI,,2021
CVE-2021-0188,Non-AI,,2021
CVE-2021-0189,Non-AI,,2021
CVE-2021-0190,Non-AI,,2021
CVE-2021-0193,Non-AI,,2021
CVE-2021-0194,Non-AI,,2021
CVE-2021-0196,Non-AI,,2021
CVE-2021-0197,Non-AI,,2021
CVE-2021-0198,Non-AI,,2021
CVE-2021-0199,Non-AI,,2021
CVE-2021-0200,Non-AI,,2021
CVE-2021-0202,Non-AI,,2021
CVE-2021-0203,Non-AI,,2021
CVE-2021-0204,Non-AI,,2021
CVE-2021-0205,Non-AI,,2021
CVE-2021-0206,Non-AI,,2021
CVE-2021-0207,Non-AI,,2021
CVE-2021-0208,Non-AI,,2021
CVE-2021-0209,Non-AI,,2021
CVE-2021-0210,Non-AI,,2021
CVE-2021-0211,Non-AI,,2021
CVE-2021-0212,Non-AI,,2021
CVE-2021-0214,Non-AI,,2021
CVE-2021-0215,Non-AI,,2021
CVE-2021-0216,Non-AI,,2021
CVE-2021-0217,Non-AI,,2021
CVE-2021-0218,Non-AI,,2021
CVE-2021-0219,Non-AI,,2021
CVE-2021-0220,Non-AI,,2021
CVE-2021-0221,Non-AI,,2021
CVE-2021-0222,Non-AI,,2021
CVE-2021-0223,Non-AI,,2021
CVE-2021-0224,Non-AI,,2021
CVE-2021-0225,Non-AI,,2021
CVE-2021-0226,Non-AI,,2021
CVE-2021-0227,Non-AI,,2021
CVE-2021-0228,Non-AI,,2021
CVE-2021-0229,Non-AI,,2021
CVE-2021-0230,Non-AI,,2021
CVE-2021-0231,Non-AI,,2021
